fname,reachOrNot
gradient_11-17-2020_16-31.output,1
gradient_11-16-2020_16-42.output,1
gradient_11-18-2020_15-46.output,1
gradient_11-19-2020_17-00.output,1
gradient_11-17-2020_15-49.output,1
gradient_11-16-2020_17-04.output,1
gradient_11-17-2020_14-13.output,1
gradient_11-19-2020_17-21.output,1
gradient_11-17-2020_14-56.output,1
gradient_11-17-2020_14-35.output,1
gradient_11-17-2020_16-10.output,1
gradient_11-18-2020_15-24.output,1
gradient_11-19-2020_17-56.output,1
gradient_11-18-2020_14-41.output,1
gradient_11-19-2020_15-59.output,1
gradient_11-18-2020_14-20.output,1
