fname,reachOrNot
gradient_10-26-2020_15-36.output,1
shallow_02-22-2024_12-32.output,1
shallow_02-22-2024_13-47.output,1
gradient_10-27-2020_17-50.output,0
gradient_10-26-2020_16-48.output,1
gradient_10-27-2020_15-41.output,1
gradient_10-26-2020_17-09.output,0
shallow_02-22-2024_14-07.output,1
gradient_10-27-2020_13-54.output,0
gradient_10-26-2020_16-04.output,0
gradient_10-27-2020_14-15.output,1
shallow_02-22-2024_11-47.output,1
shallow_02-22-2024_10-06.output,1
shallow_02-22-2024_12-11.output,1
gradient_10-26-2020_17-30.output,1
gradient_10-27-2020_16-02.output,1
gradient_10-27-2020_16-28.output,1
gradient_10-27-2020_15-19.output,1
gradient_10-27-2020_14-58.output,0
gradient_10-27-2020_14-37.output,0
gradient_10-26-2020_16-26.output,1
gradient_10-27-2020_13-33.output,1
