fname,reachOrNot
shallow_10-22-2024_11-01.output,1
shallow_10-18-2024_12-42.output,0
shallow_10-22-2024_10-40.output,1
shallow_10-17-2024_12-49.output,1
shallow_10-29-2024_11-08.output,1
shallow_11-04-2024_11-38.output,0
shallow_10-29-2024_10-47.output,1
shallow_10-17-2024_12-00.output,1
shallow_10-25-2024_11-18.output,1
shallow_10-25-2024_11-41.output,1
shallow_10-22-2024_09-53.output,1
shallow_10-22-2024_10-16.output,1
shallow_11-04-2024_10-37.output,1
shallow_10-29-2024_11-33.output,1
shallow_11-04-2024_11-01.output,1
shallow_10-29-2024_10-25.output,1
