fname,reachOrNot
shallow_10-17-2024_13-49.output,1
shallow_10-22-2024_11-25.output,1
shallow_10-25-2024_13-51.output,1
shallow_10-22-2024_14-41.output,1
shallow_10-25-2024_13-24.output,1
shallow_10-22-2024_14-02.output,1
shallow_10-17-2024_14-12.output,1
shallow_10-29-2024_10-02.output,0
shallow_10-17-2024_14-34.output,1
shallow_10-24-2024_15-40.output,1
shallow_10-18-2024_13-10.output,1
shallow_10-25-2024_12-29.output,1
shallow_10-24-2024_13-33.output,1
shallow_10-24-2024_14-58.output,1
shallow_10-22-2024_11-49.output,0
shallow_10-24-2024_13-56.output,1
shallow_10-24-2024_13-11.output,1
shallow_10-18-2024_13-41.output,0
shallow_10-17-2024_14-56.output,1
shallow_10-17-2024_13-19.output,0
