fname,reachOrNot
gradient_11-06-2020_17-24.output,0
shallow_03-01-2024_10-12.output,1
shallow_02-29-2024_08-55.output,0
shallow_03-01-2024_10-55.output,1
gradient_11-09-2020_15-47.output,1
gradient_11-10-2020_16-19.output,1
shallow_02-29-2024_12-15.output,0
gradient_11-09-2020_18-10.output,1
shallow_02-29-2024_13-11.output,0
gradient_11-10-2020_17-07.output,1
shallow_02-29-2024_14-58.output,1
shallow_02-29-2024_14-37.output,1
shallow_02-29-2024_11-08.output,0
shallow_02-29-2024_11-54.output,1
shallow_03-01-2024_09-13.output,0
gradient_11-10-2020_15-58.output,1
gradient_11-10-2020_15-37.output,1
shallow_02-29-2024_10-07.output,0
shallow_02-29-2024_14-16.output,0
gradient_11-06-2020_17-46.output,1
shallow_03-01-2024_08-52.output,0
gradient_11-09-2020_15-01.output,1
gradient_11-09-2020_16-30.output,1
gradient_11-06-2020_17-03.output,1
shallow_02-29-2024_15-47.output,0
shallow_02-29-2024_13-53.output,1
gradient_11-10-2020_14-54.output,1
gradient_11-09-2020_15-23.output,1
gradient_11-10-2020_15-15.output,0
shallow_03-01-2024_09-50.output,0
shallow_02-29-2024_11-33.output,0
shallow_02-29-2024_10-35.output,1
shallow_02-29-2024_13-32.output,1
