fname,reachOrNot
gradient_12-17-2020_17-02.output,1
gradient_12-07-2020_14-36.output,1
gradient_01-20-2021_14-15.output,1
gradient_01-20-2021_13-54.output,1
gradient_01-18-2021_15-30.output,1
gradient_12-17-2020_16-41.output,1
gradient_12-07-2020_15-08.output,1
gradient_12-14-2020_14-11.output,0
gradient_01-20-2021_13-33.output,1
gradient_01-20-2021_14-37.output,1
gradient_12-04-2020_16-35.output,1
gradient_12-04-2020_16-03.output,0
gradient_12-07-2020_15-57.output,1
gradient_12-17-2020_15-23.output,1
gradient_12-04-2020_14-42.output,1
gradient_12-10-2020_11-07.output,1
gradient_01-18-2021_15-09.output,1
gradient_12-14-2020_15-18.output,0
gradient_12-04-2020_15-03.output,1
gradient_01-20-2021_15-26.output,0
gradient_12-17-2020_14-53.output,1
gradient_12-04-2020_15-25.output,0
gradient_12-04-2020_14-11.output,1
gradient_12-15-2020_14-22.output,1
