fname,reachOrNot
gradient_11-19-2020_14-56.output,0
gradient_11-17-2020_16-54.output,1
gradient_11-19-2020_15-17.output,0
gradient_11-19-2020_14-13.output,0
gradient_11-18-2020_17-55.output,1
gradient_11-16-2020_15-57.output,1
gradient_11-18-2020_16-53.output,1
gradient_11-16-2020_15-10.output,0
gradient_11-17-2020_18-00.output,1
gradient_11-17-2020_17-39.output,0
gradient_11-18-2020_17-34.output,1
gradient_11-16-2020_15-33.output,0
gradient_11-19-2020_14-34.output,1
gradient_11-16-2020_14-46.output,0
gradient_11-18-2020_16-07.output,1
gradient_11-19-2020_15-38.output,1
