fname,reachOrNot
shallow_11-10-2023_11-39.output,0
shallow_11-10-2023_15-36.output,1
shallow_11-09-2023_13-59.output,1
shallow_11-09-2023_11-01.output,1
shallow_11-10-2023_13-43.output,1
shallow_09-29-2023_15-46.output,0
shallow_11-10-2023_16-03.output,1
shallow_11-10-2023_16-27.output,1
shallow_11-10-2023_16-14.output,1
shallow_09-29-2023_16-25.output,1
shallow_11-09-2023_11-43.output,1
shallow_09-29-2023_14-43.output,1
shallow_11-10-2023_11-53.output,0
shallow_11-09-2023_11-14.output,1
shallow_11-10-2023_13-15.output,1
shallow_09-29-2023_15-59.output,1
