fname,reachOrNot
shallow_09-29-2023_12-37.output,0
shallow_11-10-2023_15-00.output,0
shallow_09-29-2023_13-23.output,0
shallow_11-09-2023_13-34.output,0
shallow_11-10-2023_11-01.output,0
shallow_11-10-2023_14-47.output,0
shallow_11-10-2023_14-24.output,0
shallow_11-10-2023_14-36.output,0
shallow_11-09-2023_11-31.output,0
shallow_09-29-2023_14-10.output,0
shallow_11-09-2023_12-19.output,1
shallow_11-09-2023_13-46.output,0
shallow_11-09-2023_13-01.output,1
shallow_09-29-2023_13-12.output,0
shallow_11-10-2023_15-23.output,1
shallow_09-29-2023_13-38.output,1
shallow_09-29-2023_12-16.output,0
