fname,reachOrNot
gradient_11-25-2020_12-14.output,1
shallow_03-08-2024_10-17.output,1
shallow_03-11-2024_10-23.output,1
shallow_03-08-2024_15-34.output,1
shallow_03-11-2024_09-15.output,1
shallow_03-07-2024_11-24.output,1
shallow_03-08-2024_09-56.output,1
gradient_11-25-2020_10-58.output,1
gradient_11-24-2020_15-30.output,1
gradient_11-24-2020_14-12.output,1
gradient_11-24-2020_10-56.output,1
shallow_03-11-2024_09-39.output,1
shallow_03-12-2024_12-14.output,1
gradient_11-25-2020_12-49.output,1
shallow_03-12-2024_15-47.output,1
shallow_03-12-2024_16-31.output,1
gradient_11-24-2020_14-34.output,1
shallow_03-11-2024_10-01.output,1
gradient_11-24-2020_15-51.output,1
shallow_03-08-2024_11-23.output,1
shallow_03-08-2024_15-13.output,1
shallow_03-11-2024_11-38.output,1
shallow_03-12-2024_09-55.output,1
shallow_03-12-2024_16-10.output,1
shallow_03-08-2024_14-52.output,1
shallow_03-07-2024_09-21.output,1
shallow_03-11-2024_11-10.output,1
gradient_11-25-2020_11-45.output,1
shallow_03-07-2024_09-48.output,1
gradient_11-20-2020_11-41.output,1
gradient_11-25-2020_13-52.output,1
shallow_03-11-2024_10-45.output,1
gradient_11-25-2020_13-31.output,1
shallow_03-12-2024_10-41.output,1
gradient_11-20-2020_12-56.output,1
gradient_11-20-2020_13-42.output,1
