fname,reachOrNot
gradient_11-03-2020_17-00.output,1
gradient_11-03-2020_14-37.output,0
gradient_11-03-2020_14-25.output,1
gradient_11-04-2020_14-52.output,1
gradient_11-04-2020_14-31.output,1
gradient_11-02-2020_17-53.output,1
gradient_11-04-2020_14-09.output,1
gradient_11-03-2020_15-24.output,0
gradient_11-04-2020_15-14.output,1
gradient_11-03-2020_15-57.output,1
gradient_11-03-2020_14-12.output,1
gradient_11-03-2020_17-42.output,1
gradient_11-03-2020_17-21.output,1
gradient_11-03-2020_14-49.output,1
gradient_11-03-2020_16-39.output,1
