fname,reachOrNot
gradient_03-05-2021_12-25.output,1
gradient_03-04-2021_15-40.output,1
gradient_02-26-2021_12-06.output,1
gradient_03-05-2021_13-09.output,1
gradient_03-05-2021_12-48.output,1
gradient_03-02-2021_17-04.output,0
gradient_03-03-2021_14-54.output,1
gradient_03-01-2021_14-09.output,1
gradient_02-26-2021_11-07.output,1
gradient_03-03-2021_12-29.output,1
gradient_03-03-2021_11-44.output,1
gradient_02-26-2021_12-31.output,1
gradient_03-02-2021_17-25.output,1
gradient_03-03-2021_12-53.output,1
gradient_02-26-2021_11-28.output,1
gradient_03-03-2021_13-14.output,1
