fname,reachOrNot
gradient_03-03-2021_16-22.output,1
gradient_03-02-2021_14-15.output,1
gradient_03-03-2021_15-39.output,1
gradient_03-03-2021_16-00.output,1
gradient_03-04-2021_17-24.output,1
gradient_03-01-2021_14-50.output,1
gradient_03-05-2021_13-30.output,1
gradient_02-26-2021_14-23.output,1
gradient_03-01-2021_15-16.output,1
gradient_03-05-2021_14-12.output,1
gradient_03-05-2021_13-51.output,1
gradient_03-03-2021_16-56.output,0
gradient_03-02-2021_16-01.output,1
gradient_03-03-2021_17-17.output,1
