fname,reachOrNot
gradient_02-22-2021_13-28.output,1
gradient_02-24-2021_16-46.output,1
gradient_02-23-2021_17-54.output,1
gradient_02-22-2021_14-22.output,1
gradient_02-23-2021_17-21.output,1
gradient_02-22-2021_15-30.output,1
gradient_02-22-2021_15-41.output,1
gradient_02-23-2021_17-00.output,1
gradient_02-24-2021_16-24.output,1
gradient_02-22-2021_13-07.output,1
gradient_02-23-2021_18-15.output,1
gradient_02-22-2021_15-09.output,1
gradient_02-22-2021_14-46.output,1
gradient_02-22-2021_14-01.output,1
