fname,reachOrNot
gradient_02-25-2021_14-02.output,1
gradient_02-25-2021_12-36.output,1
gradient_02-24-2021_17-07.output,1
gradient_02-24-2021_14-38.output,1
gradient_02-24-2021_16-03.output,1
gradient_02-25-2021_11-54.output,1
gradient_02-24-2021_11-39.output,1
gradient_02-25-2021_14-22.output,1
gradient_02-25-2021_15-17.output,1
gradient_02-25-2021_16-02.output,1
gradient_02-25-2021_13-19.output,1
gradient_02-24-2021_15-42.output,1
gradient_02-23-2021_18-35.output,1
gradient_02-23-2021_18-56.output,0
gradient_02-25-2021_15-40.output,1
gradient_02-25-2021_12-15.output,0
