fname,reachOrNot
gradient_12-18-2020_17-27.output,1
gradient_12-18-2020_17-48.output,1
gradient_12-21-2020_17-30.output,1
gradient_03-09-2021_15-26.output,1
gradient_03-10-2021_14-24.output,1
gradient_12-21-2020_17-57.output,1
gradient_12-22-2020_16-36.output,1
gradient_12-21-2020_15-35.output,1
gradient_03-10-2021_15-53.output,1
gradient_03-09-2021_13-14.output,1
gradient_12-22-2020_16-57.output,1
gradient_03-10-2021_13-35.output,1
gradient_03-10-2021_14-52.output,1
gradient_12-22-2020_13-59.output,1
gradient_03-09-2021_15-05.output,1
gradient_12-18-2020_17-06.output,1
gradient_12-22-2020_17-50.output,1
