fname,reachOrNot
shallow_05-13-2024_13-46.output,1
shallow_05-16-2024_13-25.output,1
shallow_04-08-2024_12-07.output,1
shallow_05-16-2024_14-09.output,1
shallow_05-16-2024_14-31.output,1
shallow_05-13-2024_13-11.output,1
shallow_05-13-2024_12-46.output,1
shallow_05-16-2024_12-01.output,1
shallow_05-15-2024_14-55.output,1
shallow_05-16-2024_12-22.output,1
shallow_05-13-2024_14-08.output,1
shallow_05-15-2024_15-18.output,1
shallow_05-13-2024_14-51.output,1
shallow_05-13-2024_10-15.output,1
shallow_05-16-2024_12-43.output,1
shallow_05-13-2024_14-30.output,1
shallow_05-13-2024_11-03.output,0
shallow_05-13-2024_11-39.output,1
shallow_05-13-2024_12-24.output,1
shallow_05-14-2024_15-36.output,1
shallow_05-13-2024_12-02.output,1
shallow_05-16-2024_13-04.output,1
shallow_04-08-2024_10-35.output,1
shallow_05-13-2024_10-39.output,1
shallow_05-16-2024_11-17.output,1
