fname,reachOrNot
shallow_05-09-2024_15-40.output,0
shallow_05-10-2024_12-27.output,0
shallow_05-14-2024_11-41.output,0
shallow_05-16-2024_10-08.output,1
shallow_05-14-2024_12-27.output,1
shallow_05-14-2024_15-15.output,0
shallow_05-16-2024_11-38.output,1
shallow_04-05-2024_13-04.output,0
shallow_05-14-2024_11-12.output,0
shallow_05-10-2024_13-46.output,1
shallow_04-08-2024_14-29.output,1
shallow_05-10-2024_15-03.output,1
shallow_05-09-2024_10-22.output,0
shallow_04-05-2024_16-07.output,0
shallow_05-16-2024_10-31.output,1
shallow_04-05-2024_11-18.output,0
shallow_05-10-2024_11-17.output,0
shallow_04-08-2024_14-51.output,0
shallow_05-14-2024_13-53.output,0
shallow_05-09-2024_15-18.output,0
shallow_05-10-2024_14-06.output,0
shallow_05-16-2024_09-46.output,1
shallow_04-05-2024_12-42.output,1
shallow_04-05-2024_12-17.output,0
shallow_05-14-2024_14-14.output,0
shallow_05-14-2024_13-10.output,0
shallow_04-08-2024_10-11.output,0
shallow_05-10-2024_13-24.output,0
