fname,reachOrNot
shallow_03-18-2024_16-02.output,0
shallow_03-15-2024_12-41.output,0
shallow_03-18-2024_11-41.output,1
shallow_03-18-2024_12-01.output,1
shallow_03-14-2024_12-04.output,1
shallow_03-15-2024_10-05.output,1
shallow_03-14-2024_11-42.output,1
shallow_03-14-2024_13-30.output,1
shallow_03-15-2024_11-09.output,1
shallow_03-15-2024_13-29.output,0
shallow_03-18-2024_11-19.output,0
shallow_03-14-2024_13-09.output,1
shallow_03-18-2024_12-22.output,1
shallow_03-14-2024_10-10.output,1
shallow_03-15-2024_11-30.output,0
shallow_03-15-2024_10-47.output,1
shallow_03-14-2024_12-48.output,1
shallow_03-18-2024_14-08.output,1
shallow_03-15-2024_13-07.output,1
shallow_03-18-2024_13-47.output,1
shallow_03-14-2024_12-25.output,1
shallow_03-15-2024_10-26.output,1
shallow_03-18-2024_13-26.output,1
shallow_03-15-2024_15-19.output,1
