fname,reachOrNot
shallow_02-27-2024_10-33.output,1
shallow_02-26-2024_13-47.output,1
shallow_02-26-2024_14-30.output,1
shallow_02-26-2024_15-12.output,1
shallow_02-26-2024_16-07.output,1
gradient_10-22-2020_15-59.output,0
shallow_03-04-2024_12-39.output,1
gradient_10-22-2020_17-21.output,1
gradient_11-04-2020_17-28.output,1
gradient_10-22-2020_17-33.output,1
gradient_10-22-2020_17-09.output,0
gradient_11-04-2020_15-58.output,1
gradient_10-22-2020_15-20.output,1
gradient_10-22-2020_16-11.output,1
shallow_03-04-2024_11-28.output,1
gradient_10-21-2020_16-15.output,1
shallow_02-27-2024_13-43.output,1
shallow_03-04-2024_12-17.output,1
gradient_10-21-2020_15-49.output,1
shallow_02-26-2024_13-01.output,1
shallow_02-26-2024_10-30.output,1
gradient_10-22-2020_17-45.output,1
shallow_03-04-2024_10-46.output,1
shallow_03-04-2024_10-01.output,1
gradient_10-28-2020_17-39.output,1
shallow_02-26-2024_12-40.output,1
gradient_10-28-2020_16-33.output,1
gradient_10-21-2020_16-55.output,1
shallow_02-26-2024_09-30.output,1
shallow_03-04-2024_11-07.output,1
gradient_11-04-2020_17-50.output,1
gradient_10-21-2020_17-43.output,1
gradient_11-04-2020_15-36.output,1
shallow_02-27-2024_15-07.output,1
gradient_10-22-2020_18-09.output,1
shallow_03-04-2024_10-23.output,1
shallow_03-04-2024_13-00.output,1
shallow_02-27-2024_10-12.output,1
